1;1,442E-05;8,404E-06;1,716E-03;5,90;1,90;2,310E-06;2,310E-06
2;1,496E-05;8,676E-06;1,725E-03;2,36;1,27;2,310E-06;2,310E-06
3;1,513E-05;8,458E-06;1,789E-03;1,30;1,27;2,310E-06;2,310E-06
4;1,513E-05;8,079E-06;1,872E-03;1,30;5,69;2,310E-06;2,310E-06
5;1,545E-05;8,458E-06;1,827E-03;0,83;1,27;2,310E-06;2,310E-06
6;1,529E-05;9,001E-06;1,699E-03;0,24;5,06;2,310E-06;2,310E-06
7;1,551E-05;8,513E-06;1,822E-03;1,18;0,63;2,310E-06;2,310E-06
8;1,534E-05;8,729E-06;1,758E-03;0,12;1,89;2,310E-06;2,310E-06
9;1,572E-05;8,621E-06;1,824E-03;2,59;0,63;2,310E-06;2,310E-06
10;1,540E-05;8,567E-06;1,798E-03;0,47;0,00;2,310E-06;2,310E-06
